,BuildingType,PrimaryPropertyType,PropertyName,CouncilDistrictCode,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,ENERGYSTARScore,Latitude,Longitude,TotalGHGEmissions,SiteEnergyUse(kBtu)
488,Multifamily MR (5-9),Mid-Rise Multifamily,TASHIRO-KAPLAN BUILDING CONDO/MIXED USE,7,downtown,2002,1.0,6.0,11210,106740,Multifamily Housing,Multifamily Housing,117950.0,65.0,47.60116757,-122.32982279999999,23.56,2992693.0
489,NonResidential,Medical Office,1221 MADISON STREET (FORMER ARNOLD MED. PAVILLON),3,east,2004,1.0,0.0,0,225982,Medical Office,Medical Office,200184.0,61.0,47.60967963,-122.32310520000001,604.45,18558162.0
490,NonResidential,Mixed Use Property,2200 WESTLAKE,7,downtown,2006,1.0,0.0,0,516407,"Financial Office, Hotel, Multifamily Housing, Other, Parking, Restaurant, Supermarket/Grocery Store",Parking,385196.0,19.0,47.617939,-122.33738708,1222.69,48981052.0
491,NonResidential,Large Office,505 5th Ave S,2,downtown,2000,1.0,11.0,0,312512,"Data Center, Office, Restaurant",Office,303312.0,,47.59823576,-122.3277466,192.23,26313108.0
492,NonResidential,Large Office,RUSSELL INVESTMENTS CENTER,7,downtown,2005,1.0,42.0,297457,1295457,"Data Center, Financial Office, Office, Parking, Restaurant",Office,914832.0,96.0,47.60761629,-122.338131,500.93,58041572.0
493,NonResidential,Small- and Mid-Sized Office,1505 5TH AVE,7,downtown,1926,1.0,6.0,0,97720,"Data Center, Office, Retail Store",Office,51585.0,,47.61077374,-122.33577311,18.24,2616226.0
494,NonResidential,Medical Office,NORDSTROM ELMER J MEDICAL TOWER CONDOMINIUM,3,east,1985,1.0,10.0,206580,215923,Medical Office,Medical Office,197408.0,48.0,47.61009216,-122.32214355,235.69,17871658.0
495,NonResidential,Medical Office,JEFFERSON TOWER,3,central,1987,1.0,7.0,0,94500,Medical Office,Medical Office,94500.0,54.0,47.60648346,-122.31105804,41.9,6010407.0
496,NonResidential,Retail Store,HOME DEPOT,1,delridge,2005,1.0,1.0,0,94713,Retail Store,Retail Store,109758.0,79.0,47.53641069,-122.36381019999999,84.18,5230553.0
497,NonResidential,Medical Office,7TH & MADISON OFFICE BLDG. -(THE POLYCLINIC),7,east,2008,1.0,9.0,101342,201560,"Medical Office, Parking",Medical Office,201365.0,61.0,47.60700323,-122.32910715,123.18,14224039.0
499,NonResidential,Medical Office,CABRINI MEDICAL TOWER,3,east,1973,1.0,19.0,156407,163504,"Medical Office, Parking",Medical Office,170727.0,53.0,47.60861082,-122.32525430000001,333.3,14830411.0
500,NonResidential,Large Office,COLMAN BUILDING,7,downtown,1900,1.0,6.0,0,205521,"Office, Retail Store",Office,114919.0,93.0,47.60349153,-122.33557590000001,282.72,8371368.0
501,NonResidential,Small- and Mid-Sized Office,MUTUAL LIFE BUILDING,7,downtown,1900,1.0,6.0,0,56700,"Office, Retail Store",Office,46000.0,45.0,47.60197315,-122.33457220000001,23.95,3436032.0
502,NonResidential,Small- and Mid-Sized Office,RDA BUILDING,2,greater duwamish,1925,1.0,4.0,0,72000,Office,Office,72000.0,93.0,47.59553065,-122.32469569999999,21.04,2383075.0
503,NonResidential,Large Office,OFFICE BUILDING,7,magnolia / queen anne,2000,1.0,4.0,94892,96254,"Office, Parking",Office,103000.0,93.0,47.63380792,-122.34079640000002,35.09,5032796.0
504,NonResidential,Other,ALLSTAR FITNESS,1,delridge,2001,1.0,3.0,11527,57236,"Other - Recreation, Parking, Swimming Pool",Other - Recreation,50000.0,,47.56800769,-122.3676399,176.59,6171270.0
505,NonResidential,Other,RAINIER SQUARE PLAZA,2,southeast,1994,1.0,1.0,0,102133,"Parking, Strip Mall",Strip Mall,107427.0,,47.56922192,-122.289826,546.2,21069722.0
506,Multifamily HR (10+),High-Rise Multifamily,LEGACY CENTRE & ARBOR PLACE CONDO,7,downtown,1989,1.0,26.0,81679,276497,"Medical Office, Multifamily Housing, Office, Other, Parking",Multifamily Housing,198911.0,84.0,47.61543274,-122.34861755,59.29,8504904.0
507,NonResidential,Large Office,818 STEWART,7,downtown,2008,1.0,14.0,124506,237540,"Office, Other, Parking",Office,234864.0,81.0,47.6156434,-122.33504429999999,129.02,17812788.0
508,Multifamily MR (5-9),Mid-Rise Multifamily,INTERNATIONAL DISTRICT VILLAGE SQUARE 2,2,downtown,2002,1.0,5.0,32295,195993,"Library, Multifamily Housing, Office, Other - Entertainment/Public Assembly, Parking, Restaurant",Multifamily Housing,80298.0,,47.59626038,-122.32282830000001,191.97,5253241.0
509,NonResidential,Other,MARKETPLACE AT QUEEN ANNE CONDOMINIUM,7,magnolia / queen anne,1994,1.0,2.0,0,140000,Lifestyle Center,Lifestyle Center,81385.0,,47.62508085,-122.35519120000001,293.05,13480326.0
510,NonResidential,Large Office,ONE CONVENTION PLACE,7,downtown,2001,1.0,23.0,84660,454273,"Office, Parking",Office,357345.0,92.0,47.61144638,-122.33274841,104.51,14991744.0
511,Multifamily HR (10+),High-Rise Multifamily,OLYMPIC TOWER CONDOMINIUM,7,downtown,1929,1.0,13.0,11000,88470,"Multifamily Housing, Parking, Retail Store",Multifamily Housing,79470.0,43.0,47.61037445,-122.33883667,75.0,4395510.0
512,NonResidential,Other,2323 ELLIOTT,7,downtown,1983,1.0,6.0,197130,78852,"Office, Parking",Parking,197040.0,,47.61222215,-122.3490938,39.41,5653656.0
513,NonResidential,Small- and Mid-Sized Office,QUEEN ANNE SQUARE EAST,7,magnolia / queen anne,1982,1.0,5.0,0,98668,Office,Office,98668.0,89.0,47.62496806,-122.359705,33.36,4785692.0
514,NonResidential,Large Office,RAINIER COMMONS,2,greater duwamish,2007,1.0,1.0,28381,130550,"Multifamily Housing, Non-Refrigerated Warehouse, Office, Parking",Office,80157.0,20.0,47.57473593,-122.3209,75.45,7577723.0
515,NonResidential,Large Office,OCEAN BEAUTY SEAFOODS LLC,7,magnolia / queen anne,1978,1.0,1.0,0,105100,Office,Office,105100.0,1.0,47.65676796,-122.3704009,350.87,21832304.0
516,NonResidential,Retail Store,WHOLE FOODS INTERBAY,7,magnolia / queen anne,2008,1.0,1.0,0,57176,Retail Store,Retail Store,60000.0,32.0,47.63720081,-122.37696329999999,313.53,12037792.0
517,NonResidential,Retail Store,STAPLES BUILDING,7,magnolia / queen anne,1978,1.0,1.0,0,50660,Retail Store,Retail Store,50660.0,53.0,47.632965000000006,-122.376907,46.23,2394843.0
518,NonResidential,Small- and Mid-Sized Office,THE END OF ELLIOTT COMPLEX,7,magnolia / queen anne,1937,1.0,2.0,0,61929,Office,Office,39879.0,55.0,47.63167638,-122.3756112,49.26,2150536.0
519,NonResidential,Large Office,ELLIOTT WEST BLDG 3 - CELL THEREPEUTICS/ADMIN. OFF,7,magnolia / queen anne,2000,1.0,4.0,55000,110111,"Data Center, Office",Office,104667.0,2.0,47.62299616,-122.36449040000001,160.1,22965152.0
520,NonResidential,Large Office,401 ELLIOTT WEST,7,magnolia / queen anne,2000,1.0,4.0,42500,87051,"Data Center, Office, Parking",Office,80668.0,1.0,47.62243869,-122.3637884,179.62,25764716.0
521,NonResidential,Large Office,CLEAR CHANNEL (ACKERLY)- BLDG 1,7,magnolia / queen anne,2000,1.0,5.0,55971,106449,"Data Center, Office, Parking, Restaurant",Office,90417.0,51.0,47.62183942,-122.36301540000001,53.32,7649110.0
522,NonResidential,Large Office,333 ELLIOTT,7,magnolia / queen anne,2008,1.0,5.0,46763,137201,"Data Center, Office, Parking",Office,133451.0,53.0,47.62080128,-122.36172109999998,106.19,15232788.0
523,NonResidential,Large Office,SEATTLE POST INTELLIGENCER,7,magnolia / queen anne,1986,1.0,5.0,78848,129362,"Office, Parking",Office,109978.0,95.0,47.61897016,-122.3594294,137.15,5454482.0
524,NonResidential,Large Office,3131 ELLIOTT BLDG,7,downtown,1986,1.0,7.0,80283,197203,"Office, Other, Parking",Office,181068.0,66.0,47.61734733,-122.3571642,90.15,12931002.0
525,NonResidential,Large Office,PIER 69,7,downtown,1993,1.0,3.0,0,187130,"Non-Refrigerated Warehouse, Office, Other, Other - Recreation, Other - Services, Restaurant",Office,171783.0,78.0,47.61401367,-122.35378265,67.48,9680169.0
526,NonResidential,Large Office,WORLD TRADE CENTER NORTH,7,downtown,2000,1.0,5.0,117867,133177,"Data Center, Office",Office,126218.0,98.0,47.61286627,-122.3501976,120.75,17320768.0
527,NonResidential,Non-Refrigerated Warehouse,SHURGARD SELF STORAGE,7,downtown,1912,1.0,5.0,0,154330,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,95330.0,79.0,47.6068859,-122.34023090000001,8.72,1250669.0
528,NonResidential,Large Office,51 UNIVERSITY (SCHWABACHER BLDG.),7,downtown,1918,1.0,6.0,14690,93555,"Adult Education, Fitness Center/Health Club/Gym, Office, Other - Restaurant/Bar, Parking, Retail Store",Office,64055.0,75.0,47.60599899,-122.33947754,57.03,5101817.0
529,NonResidential,Large Office,NATIONAL BUILDING,7,downtown,1905,1.0,6.0,0,167860,"Data Center, Office, Retail Store",Office,111019.0,74.0,47.60470353,-122.33739440000001,45.0,6455470.0
530,NonResidential,Large Office,MARITIME BUILDING,7,downtown,1911,1.0,5.0,32160,160800,"Office, Parking",Office,135173.0,95.0,47.60373017,-122.33736709999998,260.94,6669954.0
531,NonResidential,Large Office,POLSON BUILDING,7,downtown,1910,1.0,6.0,0,112560,"Office, Retail Store",Office,80400.0,88.0,47.60232676,-122.336083,66.23,4368113.0
532,NonResidential,Other,WESTERN BUILDING,7,downtown,1910,1.0,6.0,0,86204,"Other, Retail Store",Other,67670.0,,47.60196269,-122.33555116,71.03,3165109.0
533,Nonresidential COS,Non-Refrigerated Warehouse,Airport Way Ctr - Bldg C,2,greater duwamish,1985,1.0,2.0,0,145158,"Non-Refrigerated Warehouse, Office, Other",Non-Refrigerated Warehouse,101633.0,52.0,47.5829049,-122.3228994,145.82,8691444.0
534,NonResidential,Large Office,HOLGATE CENTER,2,greater duwamish,1951,1.0,2.0,0,112896,"Office, Parking",Office,110746.0,71.0,47.58727817,-122.3221979,107.84,9128267.0
535,NonResidential,"Distribution Center
",MACMILLAN-PIPER EYRES WAREHOUSE,2,greater duwamish,1960,1.0,1.0,0,110613,"Distribution Center, Office",Distribution Center,99551.0,95.0,47.58696132,-122.32499969999999,7.13,1023418.0
536,NonResidential,Non-Refrigerated Warehouse,6TH & HOLGATE BUILDING,2,greater duwamish,1951,1.0,4.0,0,149881,"Non-Refrigerated Warehouse, Office",Non-Refrigerated Warehouse,119593.0,89.0,47.58505976,-122.32531100000001,81.92,2757588.0
537,NonResidential,Non-Refrigerated Warehouse,INDUSTRIAL TRANSFER WHSE,2,greater duwamish,1951,1.0,3.0,0,98220,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,129420.0,10.0,47.58035502,-122.32515790000001,89.41,6583940.0
538,NonResidential,"Distribution Center
",NORTH COAST ELECTRIC ETC,2,greater duwamish,1970,1.0,1.0,0,84420,"Distribution Center, Office, Retail Store",Distribution Center,44300.0,51.0,47.58087848,-122.32288190000001,20.65,2962476.0
539,NonResidential,Distribution Center,OWL TRANSFER,2,greater duwamish,1961,1.0,1.0,0,73335,,,,21.0,47.57022629,-122.32689920000001,78.48,3408500.0
540,NonResidential,"Distribution Center
",BEST FIXTURE/FILSON,2,greater duwamish,1928,1.0,2.0,0,56876,"Distribution Center, Office, Retail Store",Distribution Center,48400.0,,47.57938992,-122.328268,51.93,2210310.0
541,NonResidential,Non-Refrigerated Warehouse,PACIFIC IRON & METAL,2,greater duwamish,1931,1.0,2.0,0,61200,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,61200.0,11.0,47.5819271,-122.328207,196.67,5448687.0
542,NonResidential,"Distribution Center
",GENSCO INCORPORATED,2,greater duwamish,1987,1.0,1.0,0,111908,Distribution Center,Distribution Center,109090.0,69.0,47.58723098,-122.3268923,44.06,2255026.0
543,NonResidential,Other,KING COUNTY METRO TRANSIT RYERSON BASE,2,greater duwamish,1986,3.0,2.0,0,63644,"Other - Public Services, Parking",Other - Public Services,65700.0,,47.59048101,-122.3284575,160.3,7256842.0
544,NonResidential,Mixed Use Property,SALVATION ARMY,2,greater duwamish,1930,1.0,2.0,18860,89893,"Multifamily Housing, Non-Refrigerated Warehouse, Office, Parking, Retail Store, Worship Facility",Non-Refrigerated Warehouse,58605.0,,47.59424167,-122.32839209999999,25.52,3660395.0
545,NonResidential,Retail Store,FRED MEYER - GREENWOOD,6,northwest,1970,1.0,1.0,35545,106345,"Parking, Retail Store, Supermarket/Grocery Store",Retail Store,168972.0,95.0,47.69195845,-122.3587219,294.93,17109052.0
546,NonResidential,Small- and Mid-Sized Office,1455 LEARY BUILDING,6,ballard,2001,1.0,4.0,21055,71037,Office,Office,70074.0,6.0,47.66328657,-122.3755312,32.62,4678999.0
547,NonResidential,Non-Refrigerated Warehouse,SEA MARINE AND FISH SUPPLY CO,7,magnolia / queen anne,1974,1.0,3.0,0,56259,"Non-Refrigerated Warehouse, Office, Retail Store",Non-Refrigerated Warehouse,31582.0,,47.65924951,-122.38431969999999,78.39,2204235.0
548,NonResidential,Other,UNIVERSITY OF WASHINGTON RESEARCH AND TECHNOL,4,northeast,2006,1.0,6.0,0,143439,"Other, Parking",Other,119570.0,,47.65525588,-122.32136979999999,737.98,25338332.0
549,NonResidential,Large Office,LAKEVIEW AT FREMONT,6,lake union,2008,1.0,4.0,88855,113768,"Fitness Center/Health Club/Gym, Office, Parking",Office,105206.0,74.0,47.64900288,-122.3480372,61.26,8787353.0
550,NonResidential,Small- and Mid-Sized Office,THE CANAL VIEW BUILDING,6,lake union,2000,1.0,2.0,25800,51374,Office,Office,77174.0,1.0,47.64929238,-122.3519295,143.3,12704014.0
551,NonResidential,Large Office,1000 DEXTER PHASE II,7,magnolia / queen anne,1998,1.0,5.0,0,110524,"Office, Other, Parking",Office,98666.0,48.0,47.62853241,-122.34191132,54.05,7752682.0
552,NonResidential,Mixed Use Property,1100 EASTLAKE - (2013),3,lake union,2008,1.0,5.0,103650,183574,"Data Center, Office, Other, Parking",Parking,97500.0,,47.62881703,-122.3288272,288.91,19991412.0
553,NonResidential,Other,ZYMOGENETICS-DENDREON,3,lake union,1999,1.0,4.0,18382,97366,Laboratory,Laboratory,97365.0,,47.63084183,-122.3268537,1155.9,37276920.0
554,NonResidential,Large Office,WEST TOWER,7,magnolia / queen anne,2000,1.0,7.0,84689,157186,"Office, Parking",Office,163082.0,89.0,47.62270587,-122.35896059999999,63.06,8168547.0
555,NonResidential,Large Office,190 QUEEN ANNE & AS PKG -1315 - 0925 (190 QUEEN AN,7,magnolia / queen anne,1974,1.0,5.0,18720,84210,"Office, Parking",Office,89075.0,84.0,47.61946053,-122.3563784,60.02,4656777.0
556,NonResidential,Small- and Mid-Sized Office,PIER 70,7,downtown,1902,1.0,3.0,0,76893,"Office, Parking, Retail Store",Office,90345.0,51.0,47.61473608,-122.35581850000001,262.85,12187231.0
557,NonResidential,Large Office,FOURTH & VINE BLDG,7,downtown,1975,1.0,8.0,23630,126370,"Office, Parking",Office,128359.0,65.0,47.61746596,-122.34779169,95.8,9088373.0
558,NonResidential,Large Office,BLANCHARD PLAZA,7,downtown,1983,1.0,15.0,116280,261722,"Office, Parking",Office,270237.0,84.0,47.61579878,-122.34154926,238.61,17572308.0
559,NonResidential,Large Office,ACTIVE VOICE  BUILDING (FORMERLY SIXTH & LENORA),7,downtown,1963,1.0,11.0,0,169020,"Bar/Nightclub, Office, Personal Services (Health/Beauty, Dry Cleaning, etc)",Office,156414.0,90.0,47.61439383,-122.33913932,322.79,10110827.0
561,NonResidential,Large Office,720 OLIVE BLDG,7,downtown,1981,1.0,19.0,89778,293737,"Medical Office, Office, Parking",Office,312442.0,91.0,47.61414902,-122.3343852,108.42,15552193.0
562,NonResidential,Medical Office,MEDICAL DENTAL BUILDING,7,downtown,1925,1.0,18.0,28870,335064,"Medical Office, Parking, Retail Store",Medical Office,281598.0,67.0,47.61272237,-122.33714171,608.53,23230284.0
563,NonResidential,Retail Store,OLD NAVY,7,downtown,1929,1.0,4.0,0,78920,Retail Store,Retail Store,78920.0,67.0,47.61203003,-122.33483124,143.53,10513817.0
564,NonResidential,Large Office,MARKET PLACE ONE & TWO,7,downtown,1979,1.0,7.0,87160,43983,"Office, Retail Store",Office,120290.0,94.0,47.610829200000005,-122.3448644,69.71,5288304.0
565,NonResidential,Other,PACIFIC PLACE,7,downtown,1999,1.0,0.0,440185,507802,"Office, Other - Entertainment/Public Assembly, Other - Mall, Restaurant",Other - Mall,561684.0,,47.61287405,-122.33527600000001,335.63,48143224.0
566,NonResidential,Mixed Use Property,ODD FELLOWS LODGE - RETAIL,3,east,1908,1.0,4.0,0,55520,"Office, Performing Arts, Restaurant, Retail Store, Self-Storage Facility",Office,17120.0,,47.61500045,-122.31983819999999,140.72,3395651.0
567,NonResidential,Large Office,BROADACRES BLDG,7,downtown,1908,1.0,10.0,0,132998,"Office, Retail Store",Office,84731.0,87.0,47.61045662,-122.34043840000001,153.12,5207349.0
568,NonResidential,Retail Store,ROSS DRESS FOR LESS,7,downtown,1940,1.0,3.0,0,83118,Retail Store,Retail Store,45000.0,51.0,47.60939705,-122.3370035,27.66,2643948.0
569,NonResidential,Retail Store,KRESS BUILDING,7,downtown,1924,1.0,3.0,0,77555,Retail Store,Retail Store,73563.0,39.0,47.60931778,-122.33786011,71.38,8063959.0
570,NonResidential,Small- and Mid-Sized Office,MARKET SQUARE,7,downtown,1909,1.0,6.0,0,51218,"Office, Restaurant",Office,44913.0,65.0,47.60757597,-122.3409389,18.3,2625300.0
571,NonResidential,Large Office,FINANCIAL CENTER,7,downtown,1970,1.0,29.0,0,489182,"Office, Other, Other - Restaurant/Bar, Parking",Office,371450.0,50.0,47.60831575,-122.33544853,225.75,32381836.0
572,NonResidential,Large Office,SEATTLE TOWER,7,downtown,1929,1.0,27.0,13320,203251,"Office, Other - Technology/Science, Parking",Office,182604.0,,47.60765462,-122.33551240000001,0.0,0.0
573,NonResidential,Large Office,SEATTLE TELECOM - 1200 3RD AVENUE,7,downtown,1921,1.0,13.0,0,189175,"Office, Other",Office,151740.0,13.0,47.60749343,-122.3352206,132.59,19018762.0
574,NonResidential,Large Office,1015 THIRD AVENUE BLDG - EXPEDITORS INTERNATIONAL,7,downtown,1998,1.0,13.0,74481,219322,"Office, Parking",Office,145491.0,25.0,47.60565608,-122.33424818,118.83,17044842.0
575,NonResidential,Large Office,1201 WESTERN BUILDING,7,downtown,1910,1.0,7.0,0,122356,"Data Center, Office, Retail Store",Office,95942.0,69.0,47.60586544,-122.3393185,50.14,6618215.0
576,NonResidential,Small- and Mid-Sized Office,UNITED WAY,7,downtown,1921,1.0,3.0,0,52298,Office,Office,50250.0,88.0,47.60378793,-122.33362064,13.88,1990749.0
577,NonResidential,Large Office,HOGE BUILDING,7,downtown,1911,1.0,17.0,0,116640,"Financial Office, Food Service, Office, Other",Office,82053.0,52.0,47.60302353,-122.33364868,163.11,6797528.0
578,NonResidential,Large Office,BANK OF AMERICA FIFTH AVENUE PLAZA,3,downtown,1981,1.0,42.0,201121,1047934,"Data Center, Medical Office, Office, Parking, Restaurant",Office,983697.0,93.0,47.60600047,-122.32993096,277.98,41818868.0
579,NonResidential,Small- and Mid-Sized Office,PACIFIC NW TITLE / OLD CHAMBER OF COMMERCE,7,downtown,1924,1.0,4.0,0,63150,,,,67.0,47.60363571,-122.33229898,35.69,2982178.0
580,NonResidential,Large Office,PACIFIC BUILDING,7,downtown,1970,1.0,22.0,98556,129000,"Office, Parking",Office,129000.0,74.0,47.60401687,-122.33197962,57.18,8201974.0
581,NonResidential,Large Office,COLUMBIA CENTER,7,downtown,1985,1.0,76.0,319400,1632820,"Office, Parking",Office,1680937.0,84.0,47.60466039,-122.33028619,834.96,94560088.0
582,NonResidential,Medical Office,FIRST HILL MEDICAL BUILDING,3,east,1988,1.0,5.0,99314,89025,"Medical Office, Parking",Medical Office,81873.0,17.0,47.60634747,-122.3218006,92.21,8631444.0
583,NonResidential,College/University,HOSPITAL CENTRAL SERVICES LAUNDRY,3,central,1916,1.0,2.0,0,60122,"College/University, Parking",College/University,60122.0,,47.60963749,-122.3150317,3.85,552729.0
584,NonResidential,Small- and Mid-Sized Office,101 KING STREET,2,downtown,1910,1.0,6.0,13700,81300,"Office, Parking",Office,84481.0,84.0,47.59807205,-122.33368683,39.44,4108523.0
585,NonResidential,Large Office,ADMINISTRATION BUILDING - KING COUNTY,7,downtown,1971,1.0,9.0,0,224857,Office,Office,204993.0,73.0,47.60386535,-122.32841507,394.71,15036617.0
586,NonResidential,Large Office,KING STREET CENTER,2,downtown,1998,1.0,8.0,124788,321473,,,,97.0,47.59885555,-122.33095700000001,97.2,13943064.0
587,NonResidential,Other,DOT 17G_01 1051 BUILDING,2,greater duwamish,1939,1.0,2.0,0,58492,Other,Other,58500.0,,47.59301502,-122.33459679999999,58.51,1767017.0
588,NonResidential,Small- and Mid-Sized Office,MC KINNON FURNITURE,2,greater duwamish,1907,1.0,6.0,0,62370,"Office, Restaurant",Office,49473.0,30.0,47.58959849,-122.33367220000001,30.22,4335178.0
589,NonResidential,Non-Refrigerated Warehouse,GRAYBAR ELECTRIC,2,greater duwamish,1960,1.0,1.0,0,73296,"Non-Refrigerated Warehouse, Parking",Non-Refrigerated Warehouse,77800.0,82.0,47.58481885,-122.32682609999999,66.77,2265487.0
590,Nonresidential COS,Other,Airport Way Ctr - Bldg A,2,greater duwamish,1944,1.0,4.0,0,102075,"Office, Other",Other,50036.0,,47.5829049,-122.3228994,178.65,14353034.0
591,NonResidential,Other,J D OTT COMPANY (2244 6th Ave S),2,greater duwamish,1985,1.0,1.0,0,66133,"Non-Refrigerated Warehouse, Office, Other",Other,60787.0,,47.58295949,-122.32487520000001,56.8,5477570.0
592,NonResidential,Non-Refrigerated Warehouse,Seattle Lighting Distribution Center,2,greater duwamish,1952,1.0,2.0,0,115668,"Data Center, Non-Refrigerated Warehouse, Office, Retail Store",Non-Refrigerated Warehouse,101752.0,,47.57669998,-122.3386606,81.27,3033190.0
593,NonResidential,Other,PROLOGIS SEATTLE 10 (ROSS DISPLAY),2,greater duwamish,1969,1.0,1.0,0,54171,,,,,47.57289218,-122.33503629999998,39.08,1008645.0
594,NonResidential,Other,UPS WAREHOUSE,2,greater duwamish,1970,1.0,1.0,0,141686,Other,Other,152511.0,,47.56299869,-122.3255706,47.42,6802622.0
595,NonResidential,Small- and Mid-Sized Office,MCKINSTRY HEADQUARTERS,2,greater duwamish,1950,1.0,1.0,0,93610,"Data Center, Office",Office,101278.0,94.0,47.55659397,-122.33167879999999,133.54,6102883.0
596,NonResidential,Large Office,ATRIUM BLUILDING - SEATTLE DESIGN CENTER,2,greater duwamish,1973,1.0,2.0,0,156188,"Office, Parking",Office,141917.0,74.0,47.55267715,-122.32740784,54.51,6233927.0
597,NonResidential,Non-Refrigerated Warehouse,BLDG C NW CORP PARK,2,greater duwamish,1966,1.0,1.0,0,104900,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,56900.0,14.0,47.54849916,-122.32433049999999,12.53,1796889.0
598,NonResidential,Retail Store,6100 BUILDING,2,greater duwamish,1975,1.0,5.0,0,238148,Retail Store,Retail Store,238148.0,27.0,47.54698628,-122.32880120000002,79.17,11356990.0
599,NonResidential,Refrigerated Warehouse,SEATTLE COLD STORAGE,2,greater duwamish,1969,1.0,1.0,0,71718,,,,,47.54329841,-122.3308777,0.65,93802.0
600,NonResidential,Non-Refrigerated Warehouse,PIONEER HUMAN SERVICES,1,greater duwamish,1969,1.0,1.0,0,55450,"Non-Refrigerated Warehouse, Office",Non-Refrigerated Warehouse,34206.0,28.0,47.53605811,-122.33228999999999,117.75,4247457.0
601,NonResidential,"Distribution Center
",CLOVERDALE BUSINESS PARK,1,greater duwamish,1979,1.0,1.0,0,54880,Distribution Center,Distribution Center,55000.0,35.0,47.52593209,-122.3308402,78.15,2505271.0
602,NonResidential,Retail Store,TARGET STORE,1,delridge,1992,1.0,1.0,0,113390,"Parking, Retail Store",Retail Store,99471.0,80.0,47.52224416,-122.3684832,154.96,7323351.0
603,NonResidential,Other,UNIVERSITY VILLAGE PARKING GARAGE/RETAIL/STORAGE,4,northeast,2002,1.0,6.0,272900,88498,"Non-Refrigerated Warehouse, Other, Parking, Retail Store",Parking,232685.0,,47.66482021,-122.29765115,113.32,8971926.0
604,NonResidential,Supermarket/Grocery Store,Q.F.C. AND RITE AID DRUG STORE,2,greater duwamish,1963,1.0,1.0,0,50785,Supermarket/Grocery Store,Supermarket/Grocery Store,27382.0,59.0,47.57902013,-122.29982450000001,174.97,7144738.0
605,NonResidential,Small- and Mid-Sized Office,200 SW MICHIGAN,1,delridge,1929,1.0,3.0,0,85126,Office,Office,81526.0,99.0,47.54106841,-122.33768290000002,50.27,2019254.0
606,NonResidential,Other,NORTHGATE NORTH,5,north,2000,1.0,5.0,19820,283435,"Other, Parking, Restaurant, Retail Store",Parking,321828.0,,47.70911192,-122.3246608,122.54,11821841.0
607,NonResidential,"Distribution Center
",PORTSIDE DISTRIBUTION CENTER,2,greater duwamish,1986,1.0,1.0,0,411584,"Distribution Center, Non-Refrigerated Warehouse, Refrigerated Warehouse",Distribution Center,288048.0,48.0,47.56485509,-122.33800600000001,391.82,13779936.0
608,NonResidential,Mixed Use Property,U.S. RUBBER BLDG.,7,downtown,1902,1.0,4.0,0,73320,"Non-Refrigerated Warehouse, Office, Retail Store",Non-Refrigerated Warehouse,27283.0,,47.59960585,-122.33065959999999,26.41,1041304.0
609,NonResidential,Large Office,645 ELLIOTT - NORTH BUILDING,7,magnolia / queen anne,2008,1.0,4.0,100176,142510,"Office, Parking",Office,149081.0,72.0,47.62566459,-122.3680201,64.19,9207485.0
610,NonResidential,Small- and Mid-Sized Office,WASHINGTON SHOE BUILDING,2,downtown,1900,1.0,6.0,15840,79920,Office,Office,95760.0,81.0,47.59894805,-122.33248799999998,73.77,5530880.0
611,NonResidential,Non-Refrigerated Warehouse,CITY COMMERCE PARK,2,greater duwamish,1946,1.0,1.0,0,179413,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,178087.0,79.0,47.56732628,-122.3352433,15.97,2290681.0
612,NonResidential,Non-Refrigerated Warehouse,SEATTLE POTTERY,2,greater duwamish,1917,1.0,1.0,0,65288,"Non-Refrigerated Warehouse, Office, Other - Services, Retail Store",Non-Refrigerated Warehouse,60000.0,,47.57488421,-122.3376277,4.39,629036.0
613,NonResidential,Non-Refrigerated Warehouse,PUGET SOUND -TERMINAL 7 B,1,delridge,1966,1.0,1.0,0,170632,"Non-Refrigerated Warehouse, Office",Non-Refrigerated Warehouse,164806.0,97.0,47.57260151,-122.35779879999998,4.65,666392.0
614,NonResidential,Large Office,WEST LAKE UNION CENTER- 1501 WESTLAKE,7,magnolia / queen anne,1994,1.0,10.0,0,381511,"Office, Parking",Office,220033.0,85.0,47.63266558,-122.34168580000001,105.41,11813861.0
615,NonResidential,Large Office,FIFTH & YESLER BLDG.,3,downtown,2009,1.0,17.0,138098,275166,"Office, Parking",Office,299055.0,91.0,47.60241047,-122.32732941,91.73,13158205.0
616,NonResidential,Mixed Use Property,RUSSELL HALL,4,northeast,2009,1.0,6.0,54300,68100,"Multifamily Housing, Office, Parking, Retail Store",Office,41624.0,52.0,47.65836686,-122.31287375,87.07,5415438.0
